Date,Open,High,Low,Close,Volume
20221220 13:00:00 America/New_York,161.04,161.58,159.78,161.13,3136971
20221220 14:00:00 America/New_York,161.14,162.07,160.96,161.36,3242251
20221220 15:00:00 America/New_York,161.4,161.75,160.74,160.86,3603756
20221221 09:30:00 America/New_York,161.13,165.08,161.02,163.34,4888432
20221221 10:00:00 America/New_York,163.37,165.47,163.14,165.28,5497532
20221221 11:00:00 America/New_York,165.27,165.93,163.93,164.65,3436819
20221221 12:00:00 America/New_York,164.66,165.41,164.37,165.26,2365016
20221221 13:00:00 America/New_York,165.26,165.67,165.03,165.46,2126063
20221221 14:00:00 America/New_York,165.46,166.27,165.35,165.6,2656893
20221221 15:00:00 America/New_York,165.58,165.63,164.41,165.02,3812601
20221222 09:30:00 America/New_York,160.98,161.38,156.46,157.2,5521256
20221222 10:00:00 America/New_York,157.19,157.31,153.56,153.88,7921286
20221222 11:00:00 America/New_York,153.89,154.18,150.56,150.83,5745449
20221222 12:00:00 America/New_York,150.81,151.32,149.14,150.63,5393983
20221222 13:00:00 America/New_York,150.62,150.63,148.82,149.97,4961698
20221222 14:00:00 America/New_York,149.99,151.55,149.81,151.45,4618256
20221222 15:00:00 America/New_York,151.45,154.35,151.17,153.4,9857099
20221223 09:30:00 America/New_York,151.99,152.92,148.83,149.87,4725542
20221223 10:00:00 America/New_York,149.93,153.39,149.08,150.72,7484350
20221223 11:00:00 America/New_York,150.74,152.15,150.01,151.52,4308979
20221223 12:00:00 America/New_York,151.49,152.39,151.18,151.64,2819218
20221223 13:00:00 America/New_York,151.64,151.97,150.85,151.04,2327798
20221223 14:00:00 America/New_York,151.02,151.67,150.71,151.56,2164561
20221223 15:00:00 America/New_York,151.57,152.2,151.03,152.09,3541990
20221227 09:30:00 America/New_York,150.74,151.0,144.67,145.73,5481879
20221227 10:00:00 America/New_York,145.75,148.13,145.28,145.86,6826910
20221227 11:00:00 America/New_York,145.85,146.0,144.16,144.17,4564750
20221227 12:00:00 America/New_York,144.18,144.97,142.92,143.27,4152219
20221227 13:00:00 America/New_York,143.29,144.0,142.33,142.59,3470845
20221227 14:00:00 America/New_York,142.59,142.84,141.33,141.41,4804815
20221227 15:00:00 America/New_York,141.41,142.06,140.56,141.19,7793976
20221228 09:30:00 America/New_York,139.27,142.62,138.84,140.95,5891749
20221228 10:00:00 America/New_York,140.94,142.12,139.42,139.45,5492208
20221228 11:00:00 America/New_York,139.45,140.61,138.86,140.07,3942341
20221228 12:00:00 America/New_York,140.03,141.67,139.66,141.54,2902593
20221228 13:00:00 America/New_York,141.55,141.83,140.86,141.33,2614855
20221228 14:00:00 America/New_York,141.35,141.59,139.9,140.43,2532121
20221228 15:00:00 America/New_York,140.47,140.73,139.59,140.36,4439221
20221229 09:30:00 America/New_York,144.02,145.31,142.27,144.65,4961008
20221229 10:00:00 America/New_York,144.67,145.49,143.61,145.4,5125380
20221229 11:00:00 America/New_York,145.42,146.8,144.81,146.35,3821993
20221229 12:00:00 America/New_York,146.38,146.58,145.25,146.43,3184168
20221229 13:00:00 America/New_York,146.44,146.45,145.32,145.83,2781684
20221229 14:00:00 America/New_York,145.82,146.09,145.01,145.23,2161737
20221229 15:00:00 America/New_York,145.22,146.83,145.16,146.03,5397865
20221230 09:30:00 America/New_York,143.34,144.57,142.33,144.32,4744993
20221230 10:00:00 America/New_York,144.32,144.8,143.36,143.97,5316284
20221230 11:00:00 America/New_York,143.95,144.76,143.38,144.65,2960021
20221230 12:00:00 America/New_York,144.67,145.17,144.25,144.96,2102800
20221230 13:00:00 America/New_York,144.98,144.99,143.62,144.17,2142983
20221230 14:00:00 America/New_York,144.19,144.28,143.65,144.05,1840616
20221230 15:00:00 America/New_York,144.07,146.29,144.03,146.15,4724310
20230103 09:30:00 America/New_York,148.66,149.96,145.36,145.43,5782923
20230103 10:00:00 America/New_York,145.45,145.59,141.03,143.37,7538514
20230103 11:00:00 America/New_York,143.38,143.57,140.96,141.39,4581879
20230103 12:00:00 America/New_York,141.41,142.51,141.29,141.98,2867143
20230103 13:00:00 America/New_York,141.97,142.86,141.63,142.62,2732800
